City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Takoradi,GH,4.8845,-1.7554,75.02,93,94,7.81,overcast clouds
195,Tessalit,ML,20.1986,1.0114,93.6,19,7,9.1,clear sky
196,Cooma,AU,-36.2333,149.1333,38.97,100,90,0.0,overcast clouds
197,Marsh Harbour,BS,26.5412,-77.0636,82.2,68,24,3.83,few clouds
198,Ambilobe,MG,-13.2,49.05,71.15,71,15,4.76,few clouds
199,Nouakchott,MR,18.0858,-15.9785,89.53,75,76,17.56,broken clouds
200,Fairbanks,US,64.8378,-147.7164,52.61,56,40,0.0,scattered clouds
201,Husavik,IS,66.0449,-17.3389,46.31,71,13,5.46,few clouds
202,Hasaki,JP,35.7333,140.8333,66.6,78,15,18.19,few clouds
203,Vila Do Maio,CV,15.1333,-23.2167,81.39,80,90,10.69,overcast clouds
204,Russell,US,32.3502,-85.1999,73.11,90,75,4.61,light rain
205,Salur,IN,18.5333,83.2167,78.15,83,100,3.29,overcast clouds
206,Kloulklubed,PW,7.0419,134.2556,79.3,74,99,12.91,overcast clouds
207,Tabou,CI,4.423,-7.3528,74.8,92,100,6.04,moderate rain
208,Lavrentiya,RU,65.5833,-171.0,38.1,70,100,8.79,overcast clouds
209,San Cristobal,VE,7.7669,-72.225,82.58,48,86,8.28,overcast clouds
210,Laguna,US,38.421,-121.4238,96.64,35,1,4.0,smoke
211,Pimentel,PE,-6.8367,-79.9342,68.29,68,0,23.02,clear sky
212,Inhambane,MZ,-23.865,35.3833,73.67,83,0,12.12,clear sky
213,Preobrazheniye,RU,42.9019,133.9064,58.6,85,100,5.08,overcast clouds
214,Astara,AZ,38.5,48.6667,56.1,50,0,3.09,clear sky
215,Bay Roberts,CA,47.5999,-53.2648,53.06,69,82,4.0,broken clouds
216,Atambua,ID,-9.1061,124.8925,71.83,86,32,4.25,scattered clouds
217,Jeremie,HT,18.65,-74.1167,84.47,70,69,1.66,broken clouds
218,Kisangani,CD,0.5167,25.2,70.57,95,88,1.74,light rain
219,Umm Lajj,SA,25.0213,37.2685,86.58,44,41,12.64,scattered clouds
220,Vestmannaeyjar,IS,63.4427,-20.2734,54.01,93,100,22.44,overcast clouds
221,Cap Malheureux,MU,-19.9842,57.6142,72.09,83,6,3.0,clear sky
222,Poykovskiy,RU,61.2333,73.3333,46.69,93,90,17.9,moderate rain
223,Windsor,CA,42.3001,-83.0165,77.58,47,40,10.36,scattered clouds
