City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Nur,PL,9/8/2021 2:19,52.6683,22.3221,49.21,83,24,3.6
163,Mareeba,AU,9/8/2021 2:19,-17,145.4333,74.48,57,83,14.23
164,Vernon,CA,9/8/2021 2:15,50.2581,-119.2691,76.14,46,60,0
165,Rawson,AR,9/8/2021 2:19,-43.3002,-65.1023,48.49,100,75,3.44
166,Marfino,RU,9/8/2021 2:19,55.7028,37.3822,52.88,87,0,11.18
167,Bambous Virieux,MU,9/8/2021 2:19,-20.3428,57.7575,67.21,94,75,3.44
168,Pangkalanbuun,ID,9/8/2021 2:19,-2.6833,111.6167,82.13,75,100,4.61
169,Ilulissat,GL,9/8/2021 2:19,69.2167,-51.1,33.82,69,75,3.44
170,Taoudenni,ML,9/8/2021 2:19,22.6783,-3.9836,95.74,11,10,5.86
171,Butembo,CD,9/8/2021 2:19,0.15,29.2833,57.83,99,97,2.24
172,Adrar,MR,9/8/2021 2:19,20.5022,-10.0711,91.54,22,0,6.55
173,Kerrville,US,9/8/2021 2:19,30.0474,-99.1403,78.96,58,89,6.22
174,Sahuaripa,MX,9/8/2021 2:19,29.05,-109.2333,69.82,90,55,11.1
175,Bodden Town,KY,9/8/2021 2:19,19.2833,-81.25,84.2,85,20,1.99
176,Nanakuli,US,9/8/2021 2:18,21.3906,-158.1547,89.55,47,1,10.36
177,Mackay,AU,9/8/2021 2:20,-21.15,149.2,76.05,61,2,20.83
178,El Campo,US,9/8/2021 2:20,29.1966,-96.2697,82.67,73,1,3.44
179,Faya,SA,9/8/2021 2:20,18.3851,42.4509,66.31,25,96,3.53
180,Saint-Georges,GD,9/8/2021 2:20,12.0564,-61.7485,82.08,83,20,11.5
181,Cabo San Lucas,MX,9/8/2021 2:15,22.8909,-109.9124,83.61,78,20,8.05
182,Port Lincoln,AU,9/8/2021 2:20,-34.7333,135.8667,67.32,48,0,14.88
183,Kavaratti,IN,9/8/2021 2:20,10.5669,72.642,81.54,79,81,19.69
184,Port Elizabeth,ZA,9/8/2021 2:20,-33.918,25.5701,48.49,87,0,3.44
185,Nanortalik,GL,9/8/2021 2:20,60.1432,-45.2371,44.17,65,31,6.58
186,Olafsvik,IS,9/8/2021 2:20,64.8945,-23.7142,48.42,67,87,10.92
187,Palauig,PH,9/8/2021 2:20,15.435,119.9045,82.27,77,100,4
188,Cuamba,MZ,9/8/2021 2:20,-14.8031,36.5372,67.6,52,0,4.92
189,Ahipara,NZ,9/8/2021 2:20,-35.1667,173.1667,54.41,63,14,25.7
190,Beloha,MG,9/8/2021 2:20,-25.1667,45.05,64.31,71,53,5.14
191,Ponta Do Sol,PT,9/8/2021 2:20,32.6667,-17.1,73.71,78,30,3.38
192,Flinders,AU,9/8/2021 2:20,-34.5833,150.8552,69.21,61,0,3
193,Dikson,RU,9/8/2021 2:20,73.5069,80.5464,42.94,79,93,16.82
194,Chicama,PE,9/8/2021 2:20,-7.8447,-79.1469,63.03,85,74,7.11
195,Morro Bay,US,9/8/2021 2:17,35.3658,-120.8499,77.25,79,20,1.99
196,Iqaluit,CA,9/8/2021 2:20,63.7506,-68.5145,38.93,75,20,2.3
197,Zyryanka,RU,9/8/2021 2:20,65.75,150.85,36.43,74,100,26.82
