City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Ugoofaaru,MV,82.09,light rain,5.6667,73.0,Ungoofaaru Inn
405,Bam,IR,81.23,clear sky,29.106,58.357,Bam Tourist Hotel
410,Biak,ID,74.91,moderate rain,-0.9131,122.8766,Penginapan Kim
411,Ewa Beach,US,87.75,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
413,Uniontown,US,76.46,light rain,39.9001,-79.7164,Fairfield Inn by Marriott Uniontown
414,Flin Flon,CA,66.04,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
416,Parati,BR,79.7,overcast clouds,-23.2178,-44.7131,Che Lagarto Paraty
418,Gat,IL,77.81,clear sky,31.61,34.7642,OlusHome
419,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
420,Lamu,KE,77.22,overcast clouds,-2.2717,40.902,Lamu House
421,Koungou,YT,76.71,scattered clouds,-12.7336,45.2042,Villa Netibor
423,Anqing,CN,70.65,light rain,30.5092,117.0506,Hongtian Hotel
424,Bhikangaon,IN,74.84,overcast clouds,21.8667,75.95,Vaishno Devi Mandir shakuntala niwas
425,Turayf,SA,75.45,clear sky,31.6725,38.6637,Turaif
429,Nago,JP,82.83,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
432,Japura,ID,74.71,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
434,Kefamenanu,ID,69.55,scattered clouds,-9.4467,124.4781,Sokowindo Losmen
435,Nikki,BJ,73.22,scattered clouds,9.9401,3.2108,Hotel John
437,Pringsewu,ID,73.08,overcast clouds,-5.3582,104.9744,Urban Style by Front One
438,Poum,NC,71.24,clear sky,-20.2333,164.0167,Gîte kajeon
439,Kismayo,SO,77.05,scattered clouds,-0.3582,42.5454,Agan-Hotel
441,Praia Da Vitoria,PT,72.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
442,Remanso,BR,86.59,clear sky,-9.6179,-42.0831,Hotel Mangueira
446,Shenjiamen,CN,75.97,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
456,Sur,OM,81.68,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
458,Santa Fe,AR,71.02,clear sky,-31.6333,-60.7,Conquistador Hotel
